frame_number,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,emotion
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,788,84,921,77,
19,717,109,851,103,
20,673,129,795,122,
21,668,136,789,127,
22,669,144,787,134,
23,670,144,785,135,
24,676,141,792,133,
25,673,144,789,135,
26,673,144,790,136,
27,672,145,789,136,
28,671,145,788,136,
29,671,145,787,137,
30,673,145,790,136,
31,673,145,790,136,
32,671,146,787,137,
33,671,145,788,136,
34,671,146,788,137,
35,671,146,787,138,
36,671,146,788,137,
37,671,146,787,137,
38,655,151,770,140,
39,653,151,767,142,
40,650,153,765,142,
41,650,152,765,140,
42,650,152,765,141,
43,648,153,764,141,
44,649,152,763,140,
45,649,153,763,142,
46,648,154,763,141,
47,648,153,762,143,
48,648,152,763,141,
49,648,155,762,143,
50,647,152,762,143,
51,647,153,761,142,
52,647,152,762,143,
53,646,153,761,141,
54,646,152,761,141,
55,646,153,761,141,
56,645,154,760,141,
57,645,154,759,141,
58,658,149,774,137,
59,658,150,775,137,
60,663,148,780,137,
61,663,148,780,136,
62,663,149,780,137,
63,663,148,780,136,
64,663,148,781,137,
65,662,148,778,134,
66,659,149,775,136,
67,659,149,775,136,
68,660,149,776,137,
69,658,149,775,137,
70,657,148,773,136,
71,654,147,769,135,
72,650,148,766,136,
73,651,147,767,135,
74,651,147,768,135,
75,652,147,769,135,
76,658,148,774,136,
77,659,150,774,137,
78,656,152,774,140,
